timestamp,level,state,pos_x,pos_y,left,right
1695170649401,1,0,-0.107,-0.352,1.00,1.00
1695170649417,1,0,0.170,-0.336,1.00,1.00
1695170649434,1,0,0.084,-0.405,1.00,1.00
1695170649452,1,0,0.123,-0.337,1.00,1.00
1695170649470,1,0,0.111,-0.218,1.00,1.00
1695170649488,1,0,0.099,-0.256,1.00,1.00
1695170649507,1,0,0.123,-0.268,1.00,1.00
1695170649527,1,0,0.111,-0.316,1.00,1.00
1695170649549,1,0,0.121,-0.294,1.00,1.00
1695170649571,1,0,0.118,-0.295,1.00,1.00
1695170649595,1,0,0.122,-0.329,1.00,1.00
1695170649619,1,0,0.304,-0.205,1.00,1.00
1695170649642,1,0,0.334,-0.222,1.00,1.00
1695170649664,1,0,0.318,-0.284,1.00,1.00
1695170649686,1,0,0.316,-0.412,1.00,1.00
1695170649707,1,0,0.339,-0.370,1.00,1.00
1695170649727,1,0,0.314,-0.292,1.00,1.00
1695170649747,1,0,-0.124,0.033,1.00,1.00
1695170649767,1,0,-0.217,0.034,1.00,1.00
1695170649787,1,0,-0.171,-0.064,1.00,1.00
1695170649807,1,0,-0.151,-0.020,1.00,1.00
1695170649827,1,0,-0.168,0.055,1.00,1.00
1695170649847,1,0,-0.145,0.078,1.00,1.00
1695170649866,1,0,-0.136,0.104,1.00,1.00
1695170649886,1,0,-0.153,0.141,1.00,1.00
1695170649907,1,0,-0.171,0.138,1.00,1.00
1695170649927,1,0,-0.149,0.109,1.00,1.00
1695170649947,1,0,-0.229,0.157,1.00,1.00
1695170649967,1,0,-0.214,0.140,1.00,1.00
1695170649987,1,0,-0.210,0.069,1.00,1.00
1695170650007,1,0,-0.742,0.158,1.00,1.00
1695170650030,1,0,-1.369,0.083,1.00,1.00
1695170650049,1,0,-1.520,-0.080,1.00,1.00
1695170650069,1,0,-1.533,-0.013,1.00,1.00
1695170650091,1,0,-1.479,0.077,1.00,1.00
1695170650113,1,0,-1.556,0.083,1.00,1.00
1695170650136,1,0,-1.545,0.071,1.00,1.00
1695170650158,1,0,-1.546,0.088,1.00,1.00
1695170650180,1,0,-1.574,0.073,1.00,1.00
1695170650202,1,0,-1.789,0.008,1.00,1.00
