timestamp,level,state,pos_x,pos_y,left,right
1695173933598,1,0,0.242,-0.558,1.00,1.00
1695173933616,1,0,0.276,-0.567,1.00,1.00
1695173933634,1,0,0.246,-0.578,1.00,1.00
1695173933651,1,0,0.242,-0.600,1.00,1.00
1695173933669,1,0,0.221,-0.655,1.00,1.00
1695173933773,1,0,0.077,-0.827,1.00,0.00
1695173933797,1,0,0.036,-0.939,1.00,1.00
1695173933822,1,0,0.105,-0.659,1.00,1.00
1695173933845,1,0,0.122,-0.621,1.00,1.00
1695173933867,1,0,0.150,-0.540,1.00,1.00
1695173933889,1,0,0.122,-0.569,1.00,1.00
1695173933910,1,0,0.148,-0.578,1.00,1.00
1695173933931,1,0,0.120,-0.585,1.00,1.00
1695173933952,1,0,0.102,-0.590,1.00,1.00
1695173933972,1,0,0.146,-0.569,1.00,1.00
1695173933993,1,0,0.181,-0.582,1.00,1.00
1695173934014,1,0,0.112,-0.565,1.00,1.00
1695173934034,1,0,0.009,-0.246,1.00,1.00
1695173934055,1,0,-0.099,0.037,1.00,1.00
1695173934074,1,0,-0.078,-0.007,1.00,1.00
1695173934095,1,0,-0.075,0.002,1.00,1.00
1695173934115,1,0,-0.096,-0.046,1.00,1.00
1695173934137,1,0,-0.087,-0.006,1.00,1.00
1695173934158,1,0,-0.081,-0.016,1.00,1.00
1695173934179,1,0,-0.035,-0.046,1.00,1.00
1695173934200,1,0,-0.037,0.029,1.00,1.00
1695173934220,1,0,-0.031,-0.012,1.00,1.00
1695173934241,1,0,-0.079,-0.016,1.00,1.00
1695173934261,1,0,-1.133,0.026,1.00,1.00
1695173934282,1,0,-1.255,0.094,1.00,1.00
1695173934302,1,0,-1.250,0.020,1.00,1.00
1695173934323,1,0,-1.290,0.060,1.00,1.00
1695173934344,1,0,-1.248,0.039,1.00,1.00
1695173934366,1,0,-1.303,0.021,1.00,1.00
1695173934387,1,0,-1.296,0.023,1.00,1.00
1695173934408,1,0,-1.332,0.023,1.00,1.00
1695173934429,1,0,-1.275,0.083,1.00,1.00
1695173934450,1,0,-1.242,0.043,1.00,1.00
1695173934470,1,0,-1.307,0.000,1.00,1.00
1695173934491,1,0,-1.277,0.053,1.00,1.00
1695173934511,1,0,-1.267,0.044,1.00,1.00
1695173934531,1,0,-1.269,0.041,1.00,1.00
1695173934552,1,0,-1.257,0.050,1.00,1.00
1695173934572,1,0,-1.296,0.058,1.00,1.00
1695173934592,1,0,-1.318,0.094,1.00,1.00
1695173934613,1,0,-1.378,0.050,1.00,1.00
1695173934633,1,0,-1.345,0.060,1.00,1.00
1695173934655,1,0,-1.430,0.061,1.00,1.00
1695173934676,1,0,-1.413,0.059,1.00,1.00
1695173934697,1,0,-1.375,0.079,1.00,1.00
1695173934717,1,0,-1.376,0.058,1.00,1.00
1695173934737,1,0,-1.390,0.112,1.00,1.00
1695173934757,1,0,-1.360,0.122,1.00,1.00
1695173934777,1,0,-1.383,0.073,1.00,1.00
1695173934796,1,0,-1.356,0.072,1.00,1.00
1695173934816,1,0,-1.317,0.082,1.00,1.00
1695173934836,1,0,-1.025,0.043,1.00,1.00
1695173934856,1,0,-0.837,0.084,1.00,1.00
1695173934875,1,0,-0.805,-0.007,1.00,1.00
1695173934894,1,0,-0.808,0.017,1.00,1.00
1695173934914,1,0,-0.785,-0.001,1.00,1.00
1695173934932,1,0,-0.768,0.034,1.00,1.00
1695173934952,1,0,-0.780,-0.008,1.00,1.00
1695173934970,1,0,-0.742,-0.006,1.00,1.00
1695173934989,1,0,-0.750,-0.015,1.00,1.00
1695173935008,1,0,-0.775,-0.002,1.00,1.00
1695173935027,1,0,-0.827,0.032,1.00,1.00
1695173935046,1,0,-0.843,0.045,1.00,1.00
1695173935065,1,0,-0.841,0.047,1.00,1.00
1695173935086,1,0,-0.830,0.052,1.00,1.00
1695173935106,1,0,-0.811,0.052,1.00,1.00
1695173935127,1,0,-0.782,0.042,1.00,1.00
1695173935146,1,0,-0.782,0.040,1.00,1.00
1695173935166,1,0,-0.779,0.043,1.00,1.00
1695173935185,1,0,-0.827,0.050,1.00,1.00
1695173935205,1,0,-0.983,-0.009,1.00,1.00
1695173935224,1,0,-0.930,0.051,1.00,1.00
1695173935243,1,0,-0.934,0.040,1.00,1.00
1695173935263,1,0,-0.937,0.049,1.00,1.00
1695173935282,1,0,-0.951,0.048,1.00,1.00
1695173935301,1,0,-0.956,0.042,1.00,1.00
1695173935320,1,0,-0.958,0.046,1.00,1.00
1695173935339,1,0,-0.952,0.044,1.00,1.00
1695173935358,1,0,-0.479,0.014,1.00,1.00
1695173935377,1,0,-0.476,0.014,1.00,1.00
1695173935397,1,0,-0.563,0.028,1.00,1.00
1695173935417,1,0,-0.561,0.039,1.00,1.00
1695173935438,1,0,-0.554,0.020,1.00,1.00
1695173935458,1,0,-0.546,0.015,1.00,1.00
1695173935478,1,0,-0.533,0.008,1.00,1.00
1695173935498,1,0,-0.513,0.004,1.00,1.00
1695173935519,1,0,-0.521,0.012,1.00,1.00
1695173935538,1,0,-0.244,0.005,1.00,1.00
1695173935559,1,0,-0.040,0.015,1.00,1.00
1695173935578,1,0,-0.069,0.057,1.00,1.00
1695173935598,1,0,-0.064,0.052,1.00,1.00
1695173935617,1,0,-0.030,0.057,1.00,1.00
1695173935636,1,0,-0.045,0.037,1.00,1.00
1695173935655,1,0,-0.041,0.053,1.00,1.00
1695173935674,1,0,-0.016,0.024,1.00,1.00
1695173935693,1,0,0.027,-0.001,1.00,1.00
1695173935712,1,0,0.022,0.000,1.00,1.00
1695173935730,1,0,0.013,0.001,1.00,1.00
1695173935749,1,0,0.008,-0.001,1.00,1.00
1695173935768,1,0,0.000,0.012,1.00,1.00
1695173935786,1,0,0.000,-0.016,1.00,1.00
1695173935805,1,0,-0.110,0.024,1.00,1.00
1695173935823,1,0,-0.368,0.039,1.00,1.00
1695173935841,1,0,-0.362,0.052,1.00,1.00
1695173935859,1,0,-0.321,0.033,1.00,1.00
1695173935877,1,0,-0.315,0.041,1.00,1.00
1695173935895,1,0,-0.286,0.026,1.00,1.00
1695173935912,1,0,-0.263,0.026,1.00,1.00
1695173935929,1,0,-0.243,0.033,1.00,1.00
1695173935947,1,0,-0.235,0.034,1.00,1.00
1695173935965,1,0,-0.144,0.023,1.00,1.00
1695173935982,1,0,0.485,0.043,1.00,1.00
1695173935999,1,0,0.933,0.010,1.00,1.00
1695173936016,1,0,0.940,0.009,1.00,1.00
1695173936034,1,0,0.919,0.006,1.00,1.00
1695173936053,1,0,0.939,-0.005,1.00,1.00
1695173936071,1,0,0.942,0.038,1.00,1.00
1695173936091,1,0,0.919,0.032,1.00,1.00
1695173936109,1,0,0.952,0.018,1.00,1.00
1695173936127,1,0,0.975,0.055,1.00,1.00
1695173936145,1,0,1.012,0.050,1.00,1.00
1695173936163,1,0,0.902,-0.111,1.00,1.00
1695173936273,1,0,1.035,0.062,1.00,1.00
1695173936290,1,0,1.010,-0.107,1.00,1.00
1695173936308,1,0,1.023,-0.008,1.00,1.00
1695173936325,1,0,1.065,0.006,1.00,1.00
1695173936342,1,0,1.031,0.010,1.00,1.00
1695173936360,1,0,1.093,0.054,1.00,1.00
1695173936378,1,0,1.053,0.063,1.00,1.00
1695173936397,1,0,1.013,0.009,1.00,1.00
1695173936416,1,0,1.048,0.057,1.00,1.00
1695173936436,1,0,1.057,0.046,1.00,1.00
1695173936455,1,0,0.944,0.088,1.00,1.00
1695173936474,1,0,0.920,-0.213,1.00,1.00
1695173936583,1,0,0.907,-0.274,0.00,1.00
1695173936601,1,0,0.907,-0.107,1.00,1.00
1695173936619,1,0,0.964,-0.091,1.00,1.00
1695173936637,1,0,0.934,-0.041,1.00,1.00
1695173936655,1,0,1.012,-0.005,1.00,1.00
1695173936672,1,0,0.987,0.039,1.00,1.00
1695173936690,1,0,0.937,0.050,1.00,1.00
1695173936707,1,0,0.950,0.029,1.00,1.00
1695173936725,1,0,0.917,-0.016,1.00,1.00
1695173936742,1,0,0.915,0.043,1.00,1.00
1695173936760,1,0,0.916,0.042,1.00,1.00
1695173936778,1,0,0.934,0.024,1.00,1.00
1695173936796,1,0,0.899,0.061,1.00,1.00
1695173936813,1,0,0.872,0.059,1.00,1.00
1695173936831,1,0,0.849,0.101,1.00,1.00
1695173936849,1,0,0.853,0.068,1.00,1.00
1695173936867,1,0,0.841,0.112,1.00,1.00
1695173936886,1,0,0.899,0.107,1.00,1.00
1695173936904,1,0,0.939,0.074,1.00,1.00
1695173936922,1,0,1.336,0.023,1.00,1.00
1695173936939,1,0,1.317,0.038,1.00,1.00
1695173936957,1,0,1.334,0.024,1.00,1.00
1695173936974,1,0,1.282,0.001,1.00,1.00
1695173936992,1,0,1.301,0.025,1.00,1.00
1695173937009,1,0,1.292,0.034,1.00,1.00
1695173937027,1,0,1.284,0.033,1.00,1.00
1695173937044,1,0,1.299,0.043,1.00,1.00
1695173937061,1,0,1.339,0.018,1.00,1.00
1695173937079,1,0,1.315,0.046,1.00,1.00
1695173937099,1,0,1.293,0.049,1.00,1.00
1695173937119,1,0,1.286,0.052,1.00,1.00
1695173937138,1,0,1.285,0.054,1.00,1.00
1695173937157,1,0,1.283,0.062,1.00,1.00
1695173937176,1,0,1.282,0.056,1.00,1.00
1695173937194,1,0,1.280,0.056,1.00,1.00
1695173937213,1,0,1.293,0.060,1.00,1.00
1695173937231,1,0,1.005,0.054,1.00,1.00
1695173937249,1,0,0.944,0.071,1.00,1.00
1695173937268,1,0,0.971,0.056,1.00,1.00
1695173937286,1,0,0.924,0.076,1.00,1.00
1695173937304,1,0,0.929,0.066,1.00,1.00
1695173937322,1,0,0.894,0.101,1.00,1.00
1695173937340,1,0,0.893,0.099,1.00,1.00
1695173937358,1,0,0.892,0.097,1.00,1.00
1695173937375,1,0,0.891,0.085,1.00,1.00
1695173937392,1,0,0.932,0.070,1.00,1.00
1695173937410,1,0,0.905,0.080,1.00,1.00
1695173937428,1,0,0.888,0.078,1.00,1.00
1695173937445,1,0,0.884,0.077,1.00,1.00
1695173937464,1,0,0.881,0.074,1.00,1.00
1695173937481,1,0,0.880,0.076,1.00,1.00
1695173937500,1,0,1.280,0.061,1.00,1.00
1695173937518,1,0,1.421,0.055,1.00,1.00
1695173937537,1,0,1.400,0.095,1.00,1.00
1695173937555,1,0,1.358,0.074,1.00,1.00
1695173937573,1,0,1.349,0.062,1.00,1.00
1695173937591,1,0,1.357,0.074,1.00,1.00
1695173937609,1,0,1.380,0.072,1.00,1.00
1695173937627,1,0,1.399,0.084,1.00,1.00
1695173937644,1,0,1.401,0.082,1.00,1.00
1695173937662,1,0,1.363,0.067,1.00,1.00
1695173937679,1,0,1.364,0.069,1.00,1.00
1695173937697,1,0,1.405,0.086,1.00,1.00
1695173937715,1,0,1.620,0.009,1.00,1.00
1695173937732,1,0,1.532,0.054,1.00,1.00
1695173937750,1,0,1.553,0.019,1.00,1.00
1695173937768,1,0,1.541,0.027,1.00,1.00
1695173937786,1,0,1.528,0.035,1.00,1.00
1695173937804,1,0,1.525,0.040,1.00,1.00
1695173937822,1,0,1.533,0.045,1.00,1.00
1695173937840,1,0,1.534,0.047,1.00,1.00
1695173937858,1,0,1.535,0.044,1.00,1.00
1695173937875,1,0,1.531,0.048,1.00,1.00
1695173937893,1,0,1.528,0.050,1.00,1.00
1695173937911,1,0,1.526,-0.003,1.00,1.00
1695173937929,1,0,1.463,-0.228,1.00,1.00
1695173937947,1,0,0.801,0.035,0.00,1.00
1695173938017,1,0,0.234,0.742,1.00,1.00
1695173938034,1,0,0.026,0.959,1.00,1.00
1695173938052,1,0,0.013,0.877,1.00,1.00
1695173938070,1,0,0.012,1.026,1.00,1.00
1695173938088,1,0,0.015,1.027,1.00,1.00
1695173938106,1,0,-0.013,1.002,1.00,1.00
1695173938124,1,0,-0.001,1.075,1.00,1.00
1695173938142,1,0,-0.007,1.063,1.00,1.00
1695173938160,1,0,0.037,1.044,1.00,1.00
1695173938179,1,0,0.020,1.530,1.00,1.00
1695173938197,1,0,0.004,1.729,1.00,1.00
1695173938215,1,0,0.022,1.697,1.00,1.00
1695173938234,1,0,0.002,1.657,1.00,1.00
1695173938253,1,0,0.007,1.690,1.00,1.00
1695173938270,1,0,-0.012,1.654,1.00,1.00
1695173938289,1,0,-0.013,1.654,1.00,1.00
1695173938306,1,0,-0.001,1.665,1.00,1.00
1695173938324,1,0,-0.018,1.664,1.00,1.00
1695173938341,1,0,-0.025,1.672,1.00,1.00
1695173938359,1,0,-0.017,1.668,1.00,1.00
1695173938377,1,0,-0.006,1.664,1.00,1.00
1695173938394,1,0,-0.009,1.663,1.00,1.00
1695173938411,1,0,-0.005,1.632,1.00,1.00
