timestamp,level,state,pos_x,pos_y,left,right
1695173705611,1,0,-0.693,2.140,1.00,1.00
1695173705627,1,0,-0.677,2.104,1.00,1.00
1695173705644,1,0,-0.711,2.111,1.00,1.00
1695173705661,1,0,-0.738,2.123,1.00,1.00
1695173705679,1,0,-0.696,2.121,1.00,1.00
1695173705697,1,0,-0.657,2.153,1.00,1.00
1695173705717,1,0,-0.283,2.248,1.00,1.00
1695173705738,1,0,-0.118,2.258,1.00,1.00
1695173705761,1,0,-0.059,2.236,1.00,1.00
1695173705785,1,0,-0.013,2.256,1.00,1.00
1695173705810,1,0,-0.018,2.252,1.00,1.00
1695173705833,1,0,-0.086,2.230,1.00,1.00
1695173705855,1,0,0.007,2.193,1.00,1.00
1695173705877,1,0,-0.039,2.226,1.00,1.00
1695173705898,1,0,0.237,2.265,1.00,1.00
1695173705918,1,0,0.568,2.331,1.00,1.00
1695173705939,1,0,0.565,2.378,1.00,1.00
1695173705958,1,0,0.605,2.403,1.00,1.00
1695173705978,1,0,0.598,2.364,1.00,1.00
1695173705998,1,0,0.602,2.391,1.00,1.00
1695173706018,1,0,0.584,2.375,1.00,1.00
1695173706037,1,0,0.581,2.383,1.00,1.00
1695173706057,1,0,0.585,2.384,1.00,1.00
1695173706078,1,0,0.594,2.353,1.00,1.00
1695173706098,1,0,0.849,2.516,1.00,1.00
1695173706119,1,0,1.214,2.693,1.00,1.00
1695173706139,1,0,1.184,2.749,1.00,1.00
1695173706159,1,0,1.201,2.734,1.00,1.00
1695173706179,1,0,1.209,2.728,1.00,1.00
1695173706199,1,0,1.159,2.713,1.00,1.00
1695173706219,1,0,1.157,2.720,1.00,1.00
1695173706238,1,0,1.155,2.689,1.00,1.00
1695173706258,1,0,1.143,2.705,1.00,1.00
1695173706278,1,0,1.163,2.711,1.00,1.00
1695173706297,1,0,1.169,2.707,1.00,1.00
1695173706317,1,0,1.209,2.717,1.00,1.00
1695173706419,1,0,0.423,0.461,1.00,1.00
1695173706438,1,0,0.399,0.080,1.00,1.00
1695173706458,1,0,0.465,-0.017,1.00,1.00
1695173706478,1,0,0.392,0.003,1.00,1.00
1695173706498,1,0,0.394,-0.001,1.00,1.00
1695173706517,1,0,0.392,-0.041,1.00,1.00
1695173706536,1,0,0.420,-0.024,1.00,1.00
1695173706557,1,0,0.456,-0.058,1.00,1.00
1695173706576,1,0,0.411,-0.036,1.00,1.00
1695173706597,1,0,0.410,-0.064,1.00,1.00
1695173706618,1,0,0.389,-0.049,1.00,1.00
1695173706639,1,0,0.371,-0.052,1.00,1.00
1695173706659,1,0,0.343,-0.080,1.00,1.00
1695173706680,1,0,0.375,-0.058,1.00,1.00
1695173706700,1,0,0.371,-0.074,1.00,1.00
1695173706719,1,0,0.300,0.009,1.00,1.00
1695173706739,1,0,0.318,0.045,1.00,1.00
1695173706758,1,0,0.274,0.015,1.00,1.00
1695173706777,1,0,0.286,0.049,1.00,1.00
1695173706796,1,0,0.262,0.052,1.00,1.00
1695173706815,1,0,0.295,0.097,1.00,1.00
1695173706834,1,0,0.264,0.038,1.00,1.00
1695173706853,1,0,0.257,0.041,1.00,1.00
1695173706871,1,0,0.252,0.047,1.00,1.00
