timestamp,level,state,pos_x,pos_y,left,right
1695172132382,1,0,-1.130,0.490,1.00,0.00
1695172132397,1,0,-1.129,0.488,1.00,0.00
1695172132410,1,0,-1.820,-0.977,1.00,0.00
1695172132425,1,0,-2.181,-0.908,1.00,0.00
1695172132439,1,0,-1.733,0.212,1.00,0.00
1695172132453,1,0,-1.808,0.436,1.00,0.00
1695172132466,1,0,-2.051,-0.935,1.00,0.00
1695172132480,1,0,-1.899,0.477,1.00,0.00
1695172132494,1,0,-1.905,0.479,1.00,0.00
1695172132508,1,0,-1.784,0.194,1.00,0.00
1695172132522,1,0,-1.730,0.217,1.00,0.00
1695172132536,1,0,-1.869,0.500,1.00,0.00
1695172132550,1,0,-1.752,0.179,1.00,0.00
1695172132564,1,0,-1.939,0.502,1.00,0.00
1695172132578,1,0,-1.943,0.501,1.00,0.00
1695172132592,1,0,-1.962,0.521,1.00,0.00
1695172132605,1,0,-1.911,0.486,1.00,0.00
1695172132619,1,0,-1.931,0.480,1.00,0.00
1695172132633,1,0,-1.968,0.499,1.00,0.00
1695172132648,1,0,-1.970,0.343,1.00,0.00
1695172132662,1,0,-1.974,0.340,1.00,0.00
1695172132675,1,0,-2.144,0.536,1.00,0.00
1695172132689,1,0,-2.777,0.658,1.00,0.00
1695172132702,1,0,-2.808,0.395,1.00,0.00
1695172132716,1,0,-2.813,0.538,1.00,0.00
1695172132730,1,0,-2.850,0.418,1.00,0.00
1695172132744,1,0,-2.851,0.418,1.00,0.00
1695172132758,1,0,-2.881,0.493,1.00,0.00
1695172132771,1,0,-2.814,0.435,1.00,0.00
1695172132785,1,0,-2.810,0.470,1.00,0.00
1695172132799,1,0,-2.872,0.506,1.00,0.00
1695172132813,1,0,-2.787,0.456,1.00,0.00
1695172132827,1,0,-2.794,0.453,1.00,0.00
1695172132841,1,0,-2.780,0.476,1.00,0.00
1695172132855,1,0,-2.827,0.477,1.00,0.00
1695172132869,1,0,-2.864,0.520,1.00,0.00
1695172132883,1,0,-2.802,0.485,1.00,0.00
1695172132897,1,0,-2.841,0.519,1.00,0.00
1695172132911,1,0,-2.823,0.438,1.00,0.00
1695172132925,1,0,-2.826,0.441,1.00,0.00
1695172132939,1,0,-2.844,0.584,1.00,0.00
1695172132953,1,0,-2.713,0.458,1.00,0.00
1695172132966,1,0,-1.884,0.494,1.00,0.00
1695172132981,1,0,-1.459,0.624,1.00,0.00
1695172132994,1,0,-1.462,0.622,1.00,0.00
1695172133008,1,0,-1.541,0.634,1.00,0.00
1695172133022,1,0,-1.479,0.599,1.00,0.00
1695172133035,1,0,-1.496,0.651,1.00,0.00
1695172133049,1,0,-1.474,0.632,1.00,0.00
1695172133063,1,0,-1.473,0.627,1.00,0.00
1695172133077,1,0,-1.500,0.623,1.00,0.00
1695172133091,1,0,-1.510,0.614,1.00,0.00
1695172133105,1,0,-1.467,0.585,1.00,0.00
1695172133119,1,0,-1.487,0.604,1.00,0.00
1695172133133,1,0,-1.510,0.606,1.00,0.00
1695172133148,1,0,-1.527,0.640,1.00,0.00
1695172133161,1,0,-1.527,0.644,1.00,0.00
1695172133174,1,0,-1.116,0.647,1.00,0.00
1695172133189,1,0,-0.540,0.498,1.00,0.00
1695172133201,1,0,-0.559,0.497,1.00,0.00
1695172133216,1,0,-0.523,0.549,1.00,0.00
1695172133231,1,0,-0.517,0.553,1.00,0.00
1695172133243,1,0,-0.496,0.538,1.00,0.00
1695172133258,1,0,-0.472,0.668,1.00,0.00
1695172133271,1,0,-0.440,0.514,1.00,0.00
