timestamp,level,state,pos_x,pos_y,left,right
1695171099008,1,0,-0.213,-0.300,1.00,1.00
1695171099020,1,0,-0.220,-0.294,1.00,1.00
1695171099037,1,0,-0.220,-0.293,1.00,1.00
1695171099055,1,0,-0.219,-0.294,1.00,1.00
1695171099074,1,0,0.100,-0.321,1.00,1.00
1695171099096,1,0,0.126,-0.344,1.00,1.00
1695171099121,1,0,0.192,-0.354,1.00,1.00
1695171099148,1,0,0.149,-0.435,1.00,1.00
1695171099176,1,0,0.157,-0.391,1.00,1.00
1695171099205,1,0,0.174,-0.390,1.00,1.00
1695171099228,1,0,0.170,-0.393,1.00,1.00
1695171099251,1,0,0.168,-0.389,1.00,1.00
1695171099273,1,0,0.166,-0.385,1.00,1.00
1695171099294,1,0,0.168,-0.382,1.00,1.00
1695171099316,1,0,-0.073,-0.023,1.00,1.00
1695171099337,1,0,-0.026,-0.011,1.00,1.00
1695171099357,1,0,-0.065,0.002,1.00,1.00
1695171099378,1,0,-0.055,0.016,1.00,1.00
1695171099400,1,0,-0.077,-0.046,1.00,1.00
1695171099419,1,0,-0.019,-0.006,1.00,1.00
1695171099440,1,0,-0.058,-0.008,1.00,1.00
1695171099460,1,0,-0.057,-0.007,1.00,1.00
1695171099480,1,0,-0.062,-0.010,1.00,1.00
1695171099502,1,0,-0.437,-0.011,1.00,1.00
1695171099521,1,0,-0.874,0.026,1.00,1.00
1695171099542,1,0,-1.535,-0.054,1.00,1.00
1695171099563,1,0,-1.564,-0.091,1.00,1.00
1695171099583,1,0,-1.573,-0.098,1.00,1.00
1695171099605,1,0,-1.510,-0.125,1.00,1.00
1695171099627,1,0,-1.536,-0.068,1.00,1.00
1695171099648,1,0,-1.545,-0.069,1.00,1.00
1695171099669,1,0,-1.527,-0.067,1.00,1.00
1695171099689,1,0,-1.508,-0.063,1.00,1.00
1695171099710,1,0,-1.516,-0.063,1.00,1.00
1695171099731,1,0,-1.533,-0.055,1.00,1.00
1695171099752,1,0,-1.542,-0.028,1.00,1.00
1695171099773,1,0,-1.763,-0.025,1.00,1.00
1695171099793,1,0,-1.877,-0.102,1.00,1.00
1695171099814,1,0,-1.845,-0.019,1.00,1.00
1695171099835,1,0,-1.839,-0.022,1.00,1.00
1695171099856,1,0,-1.780,-0.084,1.00,1.00
1695171099877,1,0,-1.862,-0.009,1.00,1.00
1695171099898,1,0,-1.813,-0.043,1.00,1.00
1695171099919,1,0,-1.353,-0.019,1.00,1.00
1695171099940,1,0,-1.007,0.009,1.00,1.00
1695171099961,1,0,-1.021,-0.015,1.00,1.00
1695171099981,1,0,-1.011,0.001,1.00,1.00
1695171100002,1,0,-1.011,-0.010,1.00,1.00
1695171100022,1,0,-1.023,-0.013,1.00,1.00
1695171100042,1,0,-1.015,0.002,1.00,1.00
1695171100062,1,0,-0.976,-0.013,1.00,1.00
1695171100083,1,0,-0.972,-0.013,1.00,1.00
1695171100104,1,0,-0.983,-0.004,1.00,1.00
1695171100125,1,0,-1.003,0.011,1.00,1.00
1695171100146,1,0,-0.994,0.017,1.00,1.00
1695171100166,1,0,-1.042,0.005,1.00,1.00
1695171100186,1,0,-1.040,0.001,1.00,1.00
1695171100207,1,0,-0.986,0.001,1.00,1.00
1695171100227,1,0,-0.974,0.009,1.00,1.00
1695171100247,1,0,-0.972,0.005,1.00,1.00
1695171100266,1,0,-0.983,0.002,1.00,1.00
1695171100286,1,0,-1.001,0.000,1.00,1.00
1695171100305,1,0,-0.503,0.032,1.00,1.00
1695171100325,1,0,-0.395,0.033,1.00,1.00
1695171100346,1,0,-0.330,0.014,1.00,1.00
1695171100365,1,0,-0.339,-0.006,1.00,1.00
1695171100385,1,0,-0.329,0.017,1.00,1.00
1695171100406,1,0,-0.340,0.043,1.00,1.00
1695171100426,1,0,-0.352,0.027,1.00,1.00
1695171100445,1,0,-0.347,0.011,1.00,1.00
1695171100465,1,0,-0.367,0.003,1.00,1.00
1695171100485,1,0,-0.374,0.004,1.00,1.00
1695171100504,1,0,-0.382,0.007,1.00,1.00
1695171100524,1,0,-0.376,0.007,1.00,1.00
1695171100543,1,0,-0.549,0.038,1.00,1.00
1695171100563,1,0,-0.508,0.017,1.00,1.00
1695171100584,1,0,-0.509,0.020,1.00,1.00
1695171100604,1,0,-0.500,0.023,1.00,1.00
1695171100624,1,0,-0.497,0.020,1.00,1.00
1695171100644,1,0,-0.501,0.017,1.00,1.00
1695171100664,1,0,-0.499,0.020,1.00,1.00
1695171100684,1,0,-0.502,0.020,1.00,1.00
1695171100704,1,0,-0.519,0.021,1.00,1.00
1695171100726,1,0,-0.521,0.025,1.00,1.00
1695171100743,1,0,-0.522,0.026,1.00,1.00
1695171100763,1,0,-0.521,0.028,1.00,1.00
1695171100783,1,0,-0.520,0.031,1.00,1.00
1695171100803,1,0,-0.518,0.033,1.00,1.00
1695171100824,1,0,-0.544,0.018,1.00,1.00
1695171100844,1,0,-0.519,0.006,1.00,1.00
1695171100863,1,0,-0.518,0.005,1.00,1.00
1695171100883,1,0,-0.509,0.004,1.00,1.00
1695171100902,1,0,-0.518,0.003,1.00,1.00
1695171100922,1,0,-0.519,0.005,1.00,1.00
1695171100941,1,0,-0.509,0.005,1.00,1.00
1695171100960,1,0,-0.505,0.007,1.00,1.00
1695171100980,1,0,-0.508,0.007,1.00,1.00
1695171101001,1,0,-0.509,0.009,1.00,1.00
1695171101019,1,0,-0.385,0.017,1.00,1.00
1695171101039,1,0,-0.051,0.014,1.00,1.00
1695171101059,1,0,-0.028,0.034,1.00,1.00
1695171101079,1,0,-0.044,0.023,1.00,1.00
1695171101098,1,0,-0.055,0.035,1.00,1.00
1695171101118,1,0,-0.055,0.027,1.00,1.00
1695171101138,1,0,-0.063,0.024,1.00,1.00
1695171101158,1,0,-0.047,0.019,1.00,1.00
1695171101177,1,0,-0.050,0.003,1.00,1.00
1695171101195,1,0,-0.053,0.014,1.00,1.00
1695171101214,1,0,-0.057,0.022,1.00,1.00
1695171101232,1,0,-0.060,0.023,1.00,1.00
1695171101250,1,0,-0.061,0.025,1.00,1.00
1695171101267,1,0,-0.055,0.025,1.00,1.00
1695171101285,1,0,-0.056,0.029,1.00,1.00
1695171101304,1,0,-0.051,0.030,1.00,1.00
1695171101322,1,0,0.615,0.026,1.00,1.00
1695171101341,1,0,0.847,0.056,1.00,1.00
1695171101361,1,0,0.851,0.051,1.00,1.00
1695171101379,1,0,0.877,0.007,1.00,1.00
1695171101398,1,0,0.868,0.005,1.00,1.00
1695171101417,1,0,0.879,0.000,1.00,1.00
1695171101436,1,0,0.874,0.012,1.00,1.00
1695171101454,1,0,0.875,0.018,1.00,1.00
1695171101472,1,0,0.872,0.021,1.00,1.00
1695171101490,1,0,0.867,0.010,1.00,1.00
1695171101508,1,0,0.862,0.014,1.00,1.00
1695171101526,1,0,0.857,0.004,1.00,1.00
1695171101544,1,0,0.848,-0.001,1.00,1.00
1695171101561,1,0,0.850,-0.005,1.00,1.00
1695171101579,1,0,0.854,-0.003,1.00,1.00
1695171101598,1,0,0.858,-0.003,1.00,1.00
1695171101616,1,0,0.860,-0.004,1.00,1.00
1695171101635,1,0,0.863,-0.007,1.00,1.00
1695171101653,1,0,0.862,-0.010,1.00,1.00
1695171101671,1,0,0.862,-0.012,1.00,1.00
1695171101689,1,0,0.867,-0.012,1.00,1.00
1695171101706,1,0,0.867,-0.014,1.00,1.00
1695171101724,1,0,0.869,-0.017,1.00,1.00
1695171101742,1,0,0.871,-0.019,1.00,1.00
